,2015_Attock_bombing,2015_Bangkok_bombing,2015_Chattanooga_shootings,Metrojet_Flight_9268,November_2015_Kidal_attack,2015_Spanish_Embassy_attack_in_Kabul,Umpqua_Community_College_shooting,June_2016_Tel_Aviv_shooting,July_2016_Qamishli_bombings,2016_shooting_of_Almaty_police_officers,American_University_of_Afghanistan_attack,Botroseya_Church_bombing,August_2016_Gaziantep_bombing,July_2016_Kabul_bombing,September_2016_Kabul_attacks,Kunduz-Takhar_highway_hostage_crisis,2016_Nampala_attack,Orlando_nightclub_shooting,Sagamihara_stabbings,2016_Thane_stabbing,%C5%BDiti%C5%A1te_shooting,Al-Faqma_ice_cream_parlor_bombing,2017_Amarnath_Yatra_attack,2017_Jerusalem_truck_attack,2017_Las_Vegas_shooting,Manchester_Arena_bombing,2017_Nasiriyah_attacks,2017_Peshawar_Agriculture_Directorate_attack,2017_Plano_shooting,Quebec_City_mosque_shooting,2017_Quetta_church_attack,2017_Sinai_mosque_attack,Sutherland_Springs_church_shooting,2017_Tehran_attacks,Ahvaz_military_parade_attack,Campinas_Cathedral_shooting,Carcassonne_and_Tr%C3%A8bes_attack,"2018_attack_on_the_High_National_Elections_Commission_in_Tripoli,_Libya",September_2018_Kabul_attacks,Kerch_Polytechnic_College_massacre,2018_Minya_bus_attack,2018_M%C3%BCnster_attack,Osmington_shooting,2018_Ouagadougou_attacks,2018_Strasbourg_attack,2018_Sunjuwan_attack,Thousand_Oaks_shooting,Toronto_van_attack,2019_Altamira_prison_riot,"Aurora,_Illinois_shooting",2019_Cairo_bombing,Coatzacoalcos_nightclub_fire,2019_Dayton_shooting,2019_Jolo_Cathedral_bombings,17_August_2019_Kabul_bombing,28_July_2019_Kabul_suicide_bombing,December_2019_Mogadishu_bombing,Paris_police_headquarters_stabbing,2019_Qalat_bombing,2019_Sri_Lanka_Easter_bombings,Suzano_school_shooting,2019_Tripoli_shooting,Zaoyang_car_attack,2020_Afgooye_bombing,Hanau_shootings,Kabul_gurdwara_attack,Pakistan_Stock_Exchange_attack
79,27.0,408,642,818,4,31.0,657,42,26,5,29.0,44.0,42,29,31.0,37.0,12.0,22,87,19,6,26,59.0,42.0,6211.0,4,24,18,106.0,240.0,13,158.0,865,104,57.0,5,89,21,20.0,176,24,18.0,110.0,32.0,117.0,27.0,765.0,491.0,12.0,151.0,26.0,9.0,857,220,51.0,13.0,26,48,22.0,1293,70.0,11.0,6,17.0,205.0,42,30
80,21.0,424,536,845,3,35.0,617,40,30,7,11.0,62.0,27,54,28.0,33.0,13.0,31,97,18,6,28,72.0,35.0,6088.0,3,26,21,113.0,290.0,11,124.0,989,116,66.0,3,90,10,17.0,164,22,16.0,92.0,40.0,91.0,22.0,949.0,1547.0,12.0,181.0,14.0,8.0,835,137,70.0,10.0,32,37,13.0,1319,99.0,9.0,15,13.0,232.0,34,34
81,18.0,363,1041,798,4,24.0,671,51,34,5,13.0,36.0,25,56,23.0,40.0,13.0,20,73,16,3,28,64.0,38.0,5926.0,5,26,19,106.0,359.0,19,137.0,875,108,76.0,6,117,22,24.0,184,29,15.0,144.0,48.0,86.0,36.0,1118.0,1238.0,16.0,192.0,12.0,9.0,831,113,55.0,8.0,31,45,12.0,1423,106.0,18.0,20,27.0,158.0,24,32
82,13.0,330,756,808,5,31.0,594,55,35,2,7.0,49.0,28,48,30.0,36.0,12.0,22,77,13,3,31,58.0,38.0,6643.0,8,18,22,96.0,383.0,13,113.0,711,132,93.0,8,105,18,19.0,161,29,26.0,160.0,37.0,84.0,41.0,941.0,564.0,8.0,402.0,13.0,14.0,702,76,66.0,16.0,25,42,15.0,1233,76.0,15.0,3,17.0,164.0,23,24
83,13.0,371,597,769,8,18.0,671,59,31,11,5.0,43.0,31,39,43.0,49.0,23.0,21,81,7,1,21,68.0,42.0,5372.0,5,23,20,62.0,231.0,18,171.0,614,128,72.0,3,87,16,24.0,155,25,22.0,158.0,24.0,114.0,33.0,804.0,464.0,26.0,311.0,13.0,16.0,584,83,46.0,18.0,14,52,5.0,1330,79.0,19.0,12,16.0,140.0,29,24
84,12.0,428,476,702,5,22.0,479,41,26,8,11.0,26.0,23,35,33.0,62.0,22.0,16,97,13,3,34,114.0,33.0,4416.0,3,25,20,66.0,168.0,19,196.0,798,122,56.0,4,92,19,18.0,194,25,25.0,104.0,37.0,143.0,23.0,931.0,554.0,98.0,197.0,14.0,8.0,744,702,31.0,13.0,22,36,5.0,1426,60.0,23.0,8,9.0,133.0,20,26
85,12.0,435,480,789,5,23.0,415,51,27,9,8.0,40.0,35,29,27.0,42.0,10.0,32,92,16,8,18,102.0,63.0,4445.0,5,19,22,97.0,226.0,15,143.0,1006,110,80.0,9,102,27,17.0,216,24,13.0,55.0,19.0,247.0,27.0,728.0,563.0,53.0,143.0,14.0,13.0,1110,659,48.0,21.0,25,61,7.0,1199,67.0,18.0,2,17.0,120.0,19,36
86,14.0,331,337,999,8,17.0,448,24,20,8,5.0,39.0,37,29,30.0,36.0,18.0,37,70,33,2,23,66.0,71.0,5119.0,5,28,25,82.0,201.0,16,143.0,805,97,67.0,8,83,17,17.0,215,29,9.0,85.0,20.0,111.0,24.0,748.0,539.0,36.0,161.0,23.0,9.0,881,435,70.0,9.0,30,46,17.0,1420,63.0,25.0,6,7.0,105.0,29,29
87,12.0,389,292,909,5,32.0,460,35,22,12,5.0,29.0,36,77,22.0,40.0,15.0,38,68,12,4,15,72.0,32.0,6488.0,4,34,24,101.0,210.0,13,143.0,763,126,72.0,6,88,21,15.0,210,24,5.0,93.0,23.0,109.0,42.0,872.0,561.0,23.0,143.0,11.0,6.0,742,289,67.0,7.0,28,50,10.0,1487,68.0,27.0,7,9.0,146.0,15,23
88,18.0,612,344,769,4,29.0,502,50,34,7,6.0,41.0,46,46,20.0,39.0,13.0,27,63,17,4,19,82.0,67.0,7126.0,5,63,22,73.0,235.0,13,146.0,867,160,96.0,5,94,25,17.0,226,25,34.0,78.0,22.0,94.0,24.0,808.0,583.0,17.0,198.0,17.0,4.0,721,194,77.0,11.0,22,40,11.0,1496,69.0,11.0,9,9.0,155.0,29,33
89,19.0,2945,320,825,10,16.0,667,45,19,4,18.0,27.0,34,40,24.0,49.0,13.0,46,142,14,5,25,64.0,418.0,7578.0,7,32,23,63.0,199.0,11,125.0,691,147,92.0,9,66,17,18.0,239,36,29.0,80.0,28.0,80.0,48.0,661.0,498.0,23.0,176.0,17.0,7.0,718,154,73.0,8.0,20,37,13.0,1391,177.0,27.0,4,9.0,137.0,23,32
90,86.0,1996,361,1255,2,28.0,532,51,25,6,21.0,20.0,31,47,32.0,36.0,15.0,79,91,20,1,18,80.0,514.0,9328.0,4,30,18,70.0,136.0,14,117.0,579,181,81.0,5,75,19,15.0,209,29,13.0,86.0,30.0,103.0,33.0,614.0,552.0,34.0,155.0,15.0,12.0,685,158,57.0,13.0,35,89,8.0,1302,81.0,20.0,10,9.0,231.0,31,19
91,92.0,1625,283,1340,3,31.0,541,26,26,5,15.0,32.0,39,36,29.0,53.0,17.0,107,67,15,10,18,106.0,300.0,9348.0,10,30,24,64.0,148.0,8,95.0,615,139,62.0,8,74,16,12.0,244,21,18.0,122.0,24.0,107.0,32.0,658.0,9616.0,19.0,131.0,16.0,11.0,705,167,44.0,12.0,58,66,14.0,1477,71.0,12.0,11,8.0,244.0,17,30
92,43.0,1519,290,972,7,43.0,740,31,28,8,19.0,44.0,36,39,34.0,37.0,15.0,62,115,15,3,12,73.0,236.0,8020.0,3,26,15,90.0,184.0,13,125.0,744,143,57.0,67,55,15,11.0,222,35,17.0,70.0,24.0,94.0,60.0,723.0,5916.0,17.0,109.0,28.0,8.0,797,156,72.0,27.0,25,327,14.0,1495,62.0,18.0,10,15.0,193.0,20,32
93,31.0,1499,232,897,9,19.0,724,29,21,4,14.0,38.0,34,27,36.0,36.0,16.0,29,96,16,2,25,62.0,138.0,7188.0,5,29,24,72.0,247.0,15,114.0,730,124,74.0,78,75,22,22.0,287,31,15.0,64.0,20.0,102.0,28.0,734.0,3161.0,20.0,101.0,16.0,7.0,891,157,47.0,14.0,18,202,6.0,1475,82.0,54.0,7,23.0,168.0,23,22
94,28.0,1116,229,879,7,24.0,751,40,14,8,22.0,35.0,49,51,13.0,41.0,8.0,22,95,14,6,19,65.0,82.0,6534.0,2,29,24,64.0,204.0,13,100.0,812,114,47.0,68,85,19,19.0,441,31,19.0,68.0,38.0,255.0,24.0,814.0,1824.0,18.0,128.0,19.0,13.0,769,153,61.0,11.0,22,101,5.0,1403,60.0,33.0,2,13.0,158.0,16,19
95,14.0,834,305,1078,6,18.0,1192,38,23,7,16.0,28.0,30,39,21.0,30.0,11.0,34,92,28,7,18,55.0,93.0,6059.0,3,23,17,81.0,167.0,21,112.0,731,129,64.0,48,83,16,18.0,234,29,28.0,85.0,27.0,330.0,38.0,663.0,1327.0,22.0,152.0,34.0,2.0,1164,122,44.0,13.0,36,84,4.0,1585,59.0,1821.0,4,15.0,142.0,27,20
96,31.0,609,277,990,5,30.0,1297,35,22,10,22.0,25.0,34,54,24.0,34.0,13.0,34,84,21,2,18,36.0,137.0,5977.0,2,69,10,74.0,200.0,14,115.0,540,156,53.0,39,104,17,20.0,211,31,22.0,81.0,25.0,278.0,37.0,768.0,965.0,23.0,140.0,12.0,13.0,1484,108,40.0,13.0,26,61,3.0,1294,49.0,56.0,4,9.0,162.0,24,21
97,19.0,742,287,980,4,16.0,1130,43,22,7,19.0,21.0,41,45,32.0,90.0,18.0,46,69,15,4,20,57.0,107.0,5020.0,4,28,26,52.0,136.0,18,105.0,696,113,77.0,42,95,25,18.0,353,25,21.0,69.0,15.0,562.0,29.0,822.0,1722.0,30.0,217.0,13.0,29.0,842,79,39.0,15.0,27,53,14.0,1127,83.0,27.0,5,10.0,156.0,27,21
98,37.0,643,241,881,5,32.0,876,31,21,7,17.0,23.0,28,33,33.0,47.0,12.0,60,82,14,4,20,49.0,91.0,5372.0,7,17,21,61.0,152.0,15,99.0,747,133,69.0,22,84,30,9.0,275,28,17.0,87.0,23.0,238.0,20.0,772.0,1118.0,18.0,116.0,17.0,33.0,825,98,39.0,9.0,21,56,7.0,1325,58.0,24.0,4,18.0,179.0,30,27
99,22.0,1362,321,887,3,16.0,910,33,19,2,17.0,27.0,31,37,22.0,25.0,9.0,75,68,16,2,20,44.0,73.0,5394.0,3,44,15,55.0,216.0,15,121.0,1157,157,92.0,23,89,17,18.0,227,28,18.0,75.0,15.0,207.0,22.0,880.0,979.0,17.0,153.0,23.0,15.0,794,97,51.0,12.0,35,44,12.0,1408,74.0,18.0,7,8.0,197.0,32,21
100,29.0,842,189,958,7,22.0,586,30,20,6,17.0,35.0,37,37,21.0,24.0,14.0,85,87,18,5,12,62.0,72.0,5174.0,3,23,20,46.0,215.0,16,130.0,811,261,73.0,22,63,16,14.0,173,23,21.0,82.0,16.0,157.0,27.0,902.0,747.0,17.0,101.0,24.0,10.0,710,121,61.0,13.0,20,43,24.0,1444,53.0,16.0,3,13.0,201.0,27,20
101,16.0,592,199,1177,11,32.0,581,39,19,11,18.0,28.0,36,35,33.0,24.0,17.0,47,77,21,4,16,46.0,57.0,5531.0,1,15,18,54.0,182.0,13,109.0,1862,191,73.0,12,94,17,13.0,187,26,15.0,92.0,23.0,163.0,42.0,1346.0,822.0,41.0,104.0,12.0,12.0,802,129,50.0,25.0,21,41,7.0,1368,46.0,23.0,8,14.0,207.0,23,14
102,28.0,578,251,1195,5,66.0,679,39,16,8,21.0,48.0,36,31,25.0,26.0,10.0,61,70,16,3,12,70.0,49.0,5625.0,7,17,18,56.0,158.0,15,92.0,17857,213,68.0,7,76,18,18.0,229,26,14.0,98.0,21.0,149.0,24.0,960.0,817.0,34.0,94.0,14.0,7.0,1151,80,57.0,9.0,37,35,14.0,1525,50.0,13.0,4,28.0,267.0,15,40
103,21.0,543,284,1460,7,57.0,708,41,22,7,21.0,37.0,28,38,24.0,30.0,15.0,50,96,11,5,22,36.0,43.0,5491.0,5,22,19,39.0,149.0,24,102.0,73650,172,60.0,13,60,17,14.0,226,23,11.0,116.0,28.0,135.0,46.0,942.0,808.0,18.0,140.0,15.0,7.0,1159,106,50.0,14.0,26,28,11.0,2431,55.0,9.0,6,15.0,228.0,28,22
104,11.0,574,225,1063,5,37.0,691,37,25,7,24.0,28.0,37,24,25.0,27.0,20.0,46,77,15,2,17,72.0,31.0,7251.0,2,8,21,40.0,157.0,20,85.0,11625,156,60.0,9,74,20,14.0,186,24,80.0,77.0,25.0,122.0,23.0,862.0,780.0,21.0,107.0,17.0,9.0,756,70,67.0,9.0,19,45,9.0,1505,69.0,18.0,8,10.0,493.0,20,16
105,16.0,527,342,998,10,26.0,620,48,23,3,26.0,38.0,16,36,28.0,27.0,10.0,49,93,138,2,25,64.0,37.0,6642.0,4,21,14,49.0,173.0,23,111.0,8882,132,57.0,15,73,25,19.0,236,28,39.0,67.0,12.0,94.0,26.0,712.0,976.0,20.0,211.0,20.0,16.0,747,81,42.0,15.0,42,30,8.0,2455,53.0,9.0,6,13.0,350.0,13,34
106,20.0,496,282,933,14,33.0,608,38,18,5,14.0,27.0,23,36,27.0,26.0,12.0,67,57,204,5,24,107.0,38.0,6308.0,2,34,16,75.0,165.0,18,121.0,7725,151,67.0,10,80,20,11.0,204,27,28.0,88.0,14.0,129.0,11.0,692.0,956.0,14.0,1447.0,16.0,8.0,939,107,48.0,14.0,25,35,8.0,1946,57.0,8.0,13,11.0,322.0,32,29
107,18.0,457,161,1087,15,36.0,4314,31,17,22,17.0,32.0,33,35,21.0,22.0,15.0,45,61,221,4,43,52.0,37.0,6556.0,5,18,13,124.0,158.0,25,96.0,6691,114,51.0,11,72,17,18.0,201,28,45.0,352.0,26.0,73.0,26.0,689.0,798.0,9.0,373.0,7.0,6.0,903,103,51.0,18.0,31,23,4.0,1591,41.0,13.0,6,14.0,203.0,20,20
108,13.0,512,196,1054,9,42.0,1742,33,18,9,19.0,18.0,37,48,30.0,19.0,9.0,2,77,149,9,59,56.0,42.0,6485.0,6,23,16,63.0,146.0,22,136.0,6822,117,87.0,8,78,15,20.0,274,29,40.0,456.0,13.0,113.0,35.0,668.0,643.0,12.0,313.0,19.0,9.0,745,105,50.0,13.0,21,32,8.0,1376,49.0,19.0,8,19.0,272.0,24,19
109,22.0,872,221,824,4,21.0,642,52,18,12,22.0,26.0,36,33,26.0,24.0,17.0,12,82,140,3,200,58.0,49.0,6782.0,3,18,13,68.0,197.0,17,101.0,9082,124,71.0,10,76,23,22.0,466,29,22.0,132.0,22.0,106.0,27.0,638.0,948.0,18.0,254.0,17.0,16.0,784,88,66.0,16.0,27,20,22.0,1405,44.0,10.0,6,5.0,233.0,28,44
110,24.0,650,226,792,9,29.0,517,30,30,3,20.0,48.0,28,38,19.0,30.0,10.0,56,79,85,7,251,49.0,47.0,8569.0,9,19,13,89.0,150.0,16,90.0,9406,131,69.0,9,84,21,24.0,250,39,18.0,103.0,20.0,114.0,30.0,603.0,763.0,16.0,211.0,7.0,6.0,635,80,55.0,13.0,23,44,7.0,1181,48.0,18.0,12,6.0,231.0,22,37
111,27.0,557,380,725,6,35.0,599,17,21,7,17.0,36.0,33,37,20.0,25.0,12.0,61,84,51,5,244,82.0,42.0,8069.0,7,30,19,82.0,149.0,21,100.0,8748,146,67.0,7,72,19,20.0,273,31,30.0,77.0,23.0,95.0,50.0,614.0,650.0,27.0,170.0,6.0,13.0,530,65,55.0,11.0,21,39,8.0,1113,40.0,14.0,7,5.0,177.0,19,20
112,17.0,623,310,764,6,24.0,526,43,21,4,17.0,33.0,71,47,15.0,24.0,14.0,61,64,33,1,136,77.0,56.0,6367.0,7,29,14,70.0,143.0,11,70.0,8058,131,61.0,9,75,15,21.0,297,30,12.0,73.0,12.0,85.0,29.0,570.0,685.0,15.0,151.0,14.0,13.0,613,81,50.0,17.0,29,33,3.0,1415,46.0,15.0,6,8.0,185.0,23,26
113,34.0,476,263,755,6,18.0,530,51,16,3,19.0,45.0,960,39,18.0,27.0,14.0,65,82,51,5,30,63.0,40.0,6629.0,10,31,19,70.0,167.0,19,149.0,6582,113,74.0,9,110,19,14.0,258,21,98.0,60.0,18.0,107.0,39.0,609.0,726.0,12.0,133.0,22.0,7.0,616,89,51.0,16.0,19,30,8.0,1475,56.0,13.0,7,9.0,209.0,29,31
114,32.0,444,131,858,5,25.0,574,30,31,1,23.0,33.0,322,46,22.0,31.0,13.0,52,92,50,1,24,61.0,39.0,7130.0,8,19,20,86.0,863.0,14,179.0,5599,116,58.0,4,98,18,14.0,257,23,66.0,77.0,32.0,87.0,45.0,506.0,540.0,22.0,137.0,12.0,7.0,662,95,39.0,12.0,21,22,5.0,1309,48.0,13.0,9,15.0,168.0,30,42
115,12.0,387,196,832,7,21.0,476,22,17,5,14.0,37.0,166,25,21.0,16.0,8.0,47,78,43,4,20,61.0,29.0,7159.0,1,20,16,66.0,583.0,8,137.0,15378,101,55.0,6,104,18,18.0,263,32,31.0,73.0,11.0,102.0,63.0,466.0,504.0,17.0,140.0,7.0,5.0,606,93,46.0,11.0,32,33,10.0,1247,55.0,10.0,7,14.0,159.0,27,22
116,18.0,438,220,1091,6,26.0,547,22,15,0,18.0,36.0,119,31,20.0,15.0,10.0,58,53,44,2,12,61.0,43.0,7117.0,5,25,19,56.0,397.0,13,133.0,8451,109,61.0,5,90,19,18.0,201,33,24.0,82.0,15.0,90.0,30.0,530.0,535.0,40.0,121.0,16.0,4.0,548,112,50.0,16.0,26,42,9.0,1217,47.0,15.0,5,13.0,147.0,24,14
117,16.0,319,5492,1377,5,35.0,498,34,28,9,22.0,49.0,83,36,14.0,14.0,20.0,43,96,39,8,22,59.0,26.0,6348.0,4,18,20,44.0,357.0,10,119.0,5354,206,50.0,8,94,17,15.0,182,31,31.0,86.0,16.0,104.0,21.0,612.0,512.0,27.0,110.0,18.0,6.0,624,78,28.0,17.0,20,32,9.0,1183,41.0,14.0,2,10.0,206.0,24,17
118,9.0,335,618,873,4,24.0,551,26,19,5,22.0,41.0,97,33,22.0,24.0,13.0,34,96,23,5,12,68.0,23.0,5661.0,3,19,19,51.0,343.0,16,101.0,4685,172,49.0,6,71,21,18.0,182,20,16.0,116.0,18.0,94.0,24.0,570.0,541.0,22.0,96.0,22.0,5.0,635,63,33.0,7.0,26,34,9.0,1111,57.0,8.0,16,5.0,168.0,34,38
119,33.0,405,506,799,3,18.0,603,27,21,11,19.0,1181.0,131,37,21.0,25.0,11.0,39,91,34,5,14,74.0,31.0,6451.0,2,11,29,53.0,382.0,35,109.0,4328,139,51.0,7,86,19,16.0,191,25,13.0,50.0,17.0,80.0,36.0,599.0,530.0,24.0,91.0,23.0,16.0,676,96,38.0,14.0,31,27,4.0,1332,51.0,13.0,13,7.0,153.0,25,35
120,41.0,424,322,858,5,23.0,762,36,22,4,34.0,965.0,79,27,20.0,25.0,13.0,38,72,24,6,13,73.0,25.0,19974.0,6,20,26,51.0,682.0,20,110.0,4459,137,48.0,5,71,12,12.0,180,35,16.0,40.0,22.0,78.0,30.0,565.0,600.0,27.0,90.0,14.0,14.0,711,120,36.0,14.0,33,34,5.0,1818,64.0,18.0,4,14.0,171.0,34,88
121,31.0,340,1069,893,6,23.0,435,33,17,15,17.0,380.0,111,101,37.0,30.0,24.0,64,84,33,5,20,64.0,46.0,7194.0,6,21,17,66.0,591.0,19,125.0,4256,146,51.0,4,109,23,17.0,191,28,12.0,308.0,19.0,83.0,53.0,509.0,520.0,11.0,81.0,10.0,10.0,542,78,46.0,14.0,25,14,8.0,1355,67.0,10.0,8,5.0,237.0,24,41
122,33.0,349,953,1054,3,18.0,414,38,21,7,9.0,241.0,138,62,28.0,26.0,26.0,55,107,24,6,10,62.0,21.0,8531.0,4,16,16,49.0,359.0,21,125.0,4958,146,58.0,6,96,20,21.0,228,26,23.0,310.0,18.0,79.0,47.0,539.0,538.0,8.0,128.0,25.0,14.0,591,96,38.0,19.0,40,35,12.0,1194,59.0,14.0,5,12.0,224.0,18,30
123,13.0,302,993,874,7,26.0,1089,71,16,8,14.0,323.0,81,45,26.0,26.0,16.0,40,72,29,4,12,53.0,31.0,7225.0,6,33,17,55.0,280.0,15,118.0,3943,161,54.0,5,70,28,15.0,210,23,13.0,112.0,17.0,65.0,62.0,576.0,539.0,13.0,110.0,23.0,12.0,610,93,43.0,18.0,36,51,19.0,1180,44.0,18.0,6,17.0,200.0,47,22
124,16.0,274,1190,832,13,21.0,568,44,19,9,23.0,210.0,45,42,27.0,14.0,8.0,55,94,25,5,21,40.0,18.0,6285.0,3,28,15,50.0,190.0,10,97.0,3150,172,54.0,4,75,29,20.0,157,29,20.0,102.0,14.0,59.0,47.0,599.0,503.0,13.0,112.0,16.0,11.0,707,129,49.0,19.0,22,66,8.0,1313,35.0,10.0,6,10.0,204.0,78,33
125,19.0,317,1266,748,9,30.0,502,23,43,6,13.0,134.0,52,32,16.0,35.0,21.0,38,119,25,3,35,52.0,28.0,8189.0,8,15,17,54.0,243.0,19,87.0,2521,146,34.0,8,69,39,17.0,190,20,18.0,83.0,11.0,142.0,53.0,508.0,706.0,18.0,85.0,20.0,14.0,671,85,38.0,9.0,25,40,6.0,1423,71.0,11.0,9,3.0,223.0,54,24
126,13.0,350,2327,551,7,30.0,522,37,29,5,25.0,107.0,35,32,18.0,33.0,18.0,49,107,28,3,27,59.0,35.0,5905.0,3,20,20,39.0,685.0,18,100.0,2392,134,44.0,4,70,24,12.0,204,27,25.0,71.0,12.0,223.0,20.0,543.0,790.0,19.0,80.0,17.0,9.0,552,64,32.0,14.0,22,51,6.0,1281,38.0,13.0,5,8.0,205.0,54,17
127,9.0,359,5247,748,5,25.0,418,27,16,13,23.0,143.0,41,42,39.0,26.0,6.0,47,88,14,7,49,48.0,32.0,5606.0,4,18,16,54.0,516.0,11,120.0,2629,125,30.0,5,79,21,17.0,198,22,21.0,53.0,11.0,132.0,37.0,563.0,579.0,12.0,86.0,15.0,9.0,621,74,37.0,16.0,34,28,9.0,1283,96.0,24.0,6,10.0,166.0,42,31
128,15.0,317,3268,997,2,26.0,319,35,21,12,19.0,115.0,41,38,57.0,28.0,9.0,51,94,12,2,25,46.0,21.0,5565.0,7,18,17,48.0,458.0,17,120.0,2556,130,61.0,9,83,24,12.0,156,23,24.0,61.0,25.0,111.0,48.0,1663.0,469.0,22.0,76.0,14.0,7.0,663,85,26.0,13.0,22,29,3.0,1249,82.0,13.0,10,5.0,188.0,30,24
129,8.0,377,2015,948,4,23.0,326,21,19,9,16.0,98.0,46,57,36.0,15.0,11.0,54,77,20,2,34,51.0,32.0,5454.0,1,18,17,58.0,316.0,40,93.0,3431,141,55.0,8,74,23,18.0,199,26,91.0,60.0,19.0,86.0,66.0,1426.0,819.0,19.0,79.0,23.0,5.0,685,97,30.0,11.0,26,27,6.0,1183,62.0,16.0,9,9.0,169.0,21,20
130,12.0,282,1092,712,5,40.0,420,56,16,8,14.0,69.0,39,55,23.0,21.0,6.0,53,94,15,3,17,42.0,52.0,5664.0,1,13,13,51.0,244.0,15,129.0,3567,143,51.0,0,72,21,10.0,188,14,28.0,49.0,14.0,114.0,44.0,1304.0,685.0,25.0,68.0,14.0,11.0,579,111,44.0,9.0,21,32,5.0,1314,47.0,13.0,8,8.0,165.0,25,12
131,11.0,305,1032,745,7,52.0,429,32,17,16,17.0,52.0,39,44,20.0,21.0,12.0,46,85,36,5,21,61.0,67.0,4919.0,6,13,19,40.0,191.0,12,128.0,2607,133,61.0,12,65,32,11.0,202,23,24.0,45.0,23.0,128.0,49.0,1267.0,460.0,18.0,96.0,14.0,12.0,601,76,33.0,6.0,19,39,6.0,1040,55.0,12.0,6,7.0,145.0,46,29
132,18.0,331,598,637,2,29.0,489,34,28,3,12.0,47.0,65,30,25.0,36.0,14.0,43,66,15,5,20,65.0,40.0,5252.0,3,13,19,47.0,184.0,15,142.0,1789,187,58.0,6,72,26,14.0,172,20,29.0,48.0,20.0,120.0,44.0,1028.0,492.0,21.0,114.0,18.0,7.0,539,57,37.0,13.0,35,31,9.0,1089,52.0,11.0,7,7.0,155.0,45,22
133,11.0,351,338,574,6,34.0,457,36,27,17,23.0,48.0,39,26,20.0,25.0,12.0,49,78,14,4,16,60.0,24.0,5045.0,4,7,12,44.0,239.0,16,111.0,1804,139,53.0,10,78,21,15.0,160,114,22.0,69.0,22.0,120.0,55.0,765.0,501.0,19.0,79.0,19.0,13.0,567,69,47.0,20.0,20,43,5.0,20502,48.0,14.0,3,6.0,149.0,38,25
134,19.0,378,293,704,5,24.0,514,39,22,10,23.0,49.0,270,34,25.0,29.0,14.0,55,109,24,5,17,58.0,38.0,5642.0,8,12,17,43.0,261.0,13,93.0,2341,147,42.0,13,57,24,16.0,179,110,27.0,49.0,15.0,118.0,30.0,941.0,441.0,17.0,66.0,22.0,2.0,533,86,36.0,10.0,31,20,3.0,2860,43.0,13.0,13,13.0,189.0,31,25
135,19.0,342,532,741,9,30.0,574,32,24,7,20.0,44.0,213,44,27.0,28.0,14.0,55,98,18,4,22,54.0,119.0,5427.0,14,15,19,58.0,254.0,15,100.0,2629,147,48.0,10,67,17,10.0,178,70,24.0,59.0,25.0,102.0,42.0,843.0,436.0,25.0,56.0,25.0,20.0,634,71,41.0,8.0,46,25,2.0,2162,49.0,20.0,23,12.0,137.0,15,18
136,9.0,482,564,759,10,28.0,454,24,14,7,22.0,51.0,118,56,22.0,24.0,10.0,58,73,24,5,22,59.0,82.0,10621.0,7,9,19,88.0,567.0,15,133.0,3169,127,60.0,8,75,23,12.0,152,72,27.0,42.0,30.0,78.0,35.0,759.0,470.0,21.0,81.0,12.0,14.0,553,74,41.0,9.0,54,34,7.0,1879,45.0,10.0,28,7.0,165.0,26,27
137,22.0,370,534,724,7,32.0,466,22,27,8,13.0,51.0,96,50,26.0,26.0,11.0,36,71,17,8,21,57.0,49.0,49483.0,4,21,13,52.0,474.0,16,135.0,2839,115,48.0,10,81,17,19.0,156,45,23.0,55.0,24.0,110.0,32.0,928.0,430.0,13.0,79.0,21.0,12.0,544,79,35.0,3.0,37,35,2.0,1475,53.0,21.0,12,7.0,151.0,24,16
138,7.0,340,629,624,7,24.0,478,35,29,6,13.0,80.0,89,50,25.0,24.0,10.0,53,85,44,6,25,63.0,61.0,40212.0,3,11,13,52.0,262.0,14,161.0,2585,151,36.0,3,63,21,20.0,178,45,30.0,44.0,13.0,83.0,40.0,928.0,408.0,20.0,76.0,14.0,8.0,477,61,36.0,3.0,31,45,2.0,1379,77.0,20.0,13,7.0,165.0,31,28
139,14.0,313,936,715,8,25.0,508,28,25,7,41.0,64.0,72,46,22.0,28.0,9.0,36,87,24,4,29,81.0,42.0,24712.0,10,18,11,45.0,220.0,15,106.0,3470,146,36.0,4,76,17,27.0,153,40,16.0,56.0,26.0,93.0,41.0,832.0,386.0,19.0,56.0,8.0,9.0,425,74,27.0,10.0,21,38,3.0,1132,90.0,29.0,19,9.0,133.0,26,17
140,10.0,334,3409,3542,4,23.0,556,27,16,8,26.0,56.0,46,38,24.0,27.0,7.0,39,77,21,5,25,78.0,42.0,21873.0,10,13,15,40.0,183.0,14,133.0,3864,133,47.0,2,67,17,18.0,182,45,27.0,44.0,26.0,91.0,39.0,804.0,654.0,12.0,72.0,17.0,17.0,442,68,54.0,8.0,24,40,1.0,1255,95.0,20.0,10,8.0,124.0,38,30
141,14.0,307,2518,2007,4,20.0,555,37,29,9,36.0,40.0,35,58,21.0,23.0,5.0,49,72,22,7,26,70.0,47.0,19121.0,394,11,20,60.0,952.0,16,145.0,3426,124,36.0,5,61,22,24.0,154,30,15.0,35.0,27.0,74.0,30.0,717.0,1054.0,31.0,73.0,20.0,5.0,450,87,46.0,12.0,17,41,4.0,1401,84.0,21.0,10,7.0,161.0,31,15
