,2015_Illapel_earthquake,2016_Taiwan_earthquake,2016_Sumatra_earthquake,2016_Afghanistan_earthquake,2016_Kumamoto_earthquakes,2016_Ecuador_earthquake,August_2016_Myanmar_earthquake,2016_Kaikoura_earthquake,2016_Aceh_earthquake,January_2017_Central_Italy_earthquakes,2017_Surigao_earthquake,2017_Leyte_earthquake,2017_Aegean_Sea_earthquake,2017_Jiuzhaigou_earthquake,2017_Ischia_earthquake,2017_Chiapas_earthquake,2017_Central_Mexico_earthquake,2017_Iran%E2%80%93Iraq_earthquake,2018_Swan_Islands_earthquake,2018_Hualien_earthquake,2018_Oaxaca_earthquake,2018_Papua_New_Guinea_earthquake,2018_Osaka_earthquake,2018_Hokkaido_Eastern_Iburi_earthquake,2018_Sulawesi_earthquake_and_tsunami,2018_Haiti_earthquake,2018_Anchorage_earthquake,2019_Luzon_earthquake,2019_Peru_earthquake,2019_Albania_earthquake,2019_Davao_del_Sur_earthquake,2020_Elaz%C4%B1%C4%9F_earthquake,2020_Caribbean_earthquake,2020_Oaxaca_earthquake
179,143.0,96,70,16,370,405.0,17,451.0,18.0,98,57.0,17.0,46.0,17,10,166,277.0,95.0,25,35.0,34.0,107,132.0,83.0,407.0,22,175,253,110,79,20,39,52.0,25
180,181.0,106,53,24,393,320.0,18,303.0,13.0,105,64.0,29.0,20.0,24,17,180,295.0,70.0,31,61.0,28.0,96,155.0,133.0,460.0,22,124,164,81,92,10,58,63.0,36
181,164.0,95,50,12,397,228.0,11,164.0,24.0,128,68.0,35.0,15.0,25,23,150,504.0,55.0,19,70.0,30.0,89,128.0,107.0,461.0,18,103,241,60,140,14,55,66.0,23
182,175.0,70,50,18,323,218.0,26,362.0,13.0,97,84.0,59.0,20.0,35,14,129,585.0,58.0,10,52.0,32.0,81,133.0,126.0,368.0,28,117,182,76,115,13,32,40.0,50
183,186.0,53,79,33,265,236.0,18,455.0,22.0,71,62.0,31.0,21.0,57,13,84,582.0,78.0,12,45.0,28.0,92,117.0,106.0,278.0,27,94,160,113,115,13,30,47.0,32
184,146.0,64,99,20,296,295.0,12,311.0,19.0,247,67.0,18.0,10.0,50,20,90,686.0,70.0,18,66.0,68.0,89,129.0,79.0,277.0,27,86,169,260,94,17,24,53.0,21
185,95.0,88,39,25,357,365.0,21,342.0,18.0,154,81.0,53.0,16.0,31,13,139,491.0,63.0,9,51.0,29.0,107,113.0,74.0,376.0,26,116,115,240,72,15,36,53.0,29
186,126.0,82,51,19,376,329.0,30,390.0,12.0,90,75.0,54.0,11.0,26,9,93,282.0,60.0,9,35.0,63.0,78,114.0,87.0,413.0,18,128,111,198,101,11,33,40.0,30
187,163.0,80,45,38,349,259.0,24,307.0,30.0,97,57.0,60.0,23.0,45,9,112,301.0,68.0,18,28.0,68.0,75,74.0,98.0,349.0,17,103,95,188,102,7,26,36.0,35
188,169.0,57,74,22,365,303.0,25,188.0,30.0,88,73.0,64.0,20.0,30,16,151,450.0,43.0,14,46.0,53.0,64,76.0,89.0,407.0,25,127,72,167,107,10,20,79.0,64
189,163.0,61,97,20,809,152.0,15,300.0,39.0,60,39.0,60.0,15.0,32,15,120,439.0,50.0,23,42.0,52.0,70,119.0,115.0,322.0,25,111,94,176,87,10,34,47.0,131
190,121.0,40,83,40,335,182.0,24,435.0,12.0,80,38.0,29.0,22.0,21,9,72,468.0,64.0,7,44.0,31.0,83,129.0,96.0,248.0,32,75,870,187,62,9,50,74.0,130
191,89.0,53,45,27,472,313.0,18,391.0,37.0,59,48.0,20.0,9.0,44,16,94,405.0,73.0,24,33.0,26.0,120,110.0,65.0,365.0,36,83,353,165,104,14,34,61.0,148
192,68.0,100,53,16,380,333.0,14,370.0,18.0,69,67.0,47.0,17.0,17,15,139,398.0,91.0,11,25.0,40.0,107,135.0,53.0,432.0,40,98,713,162,76,17,24,54.0,70
193,66.0,91,75,15,389,693.0,15,400.0,17.0,94,85.0,65.0,13.0,37,12,139,236.0,70.0,19,61.0,31.0,122,129.0,93.0,376.0,24,129,345,180,89,8,57,68.0,50
194,122.0,70,54,22,386,337.0,21,257.0,20.0,84,76.0,50.0,16.0,31,12,147,203.0,56.0,16,65.0,38.0,101,116.0,84.0,375.0,22,138,316,126,100,9,70,104.0,70
195,118.0,62,52,15,354,268.0,13,169.0,40.0,76,64.0,64.0,7.0,26,6,145,405.0,44.0,20,29.0,41.0,55,91.0,84.0,409.0,14,131,421,86,355,14,48,83.0,56
196,131.0,55,75,22,383,162.0,14,295.0,24.0,87,43.0,62.0,14.0,31,10,115,396.0,49.0,22,48.0,34.0,79,104.0,84.0,979.0,15,94,480,76,146,11,47,80.0,40
197,125.0,36,62,16,198,319.0,16,334.0,22.0,60,39.0,25.0,11.0,36,27,82,418.0,75.0,17,49.0,23.0,101,84.0,70.0,382.0,31,98,441,121,109,12,31,44.0,35
198,106.0,54,58,21,336,343.0,15,355.0,28.0,73,64.0,34.0,2.0,28,10,84,525.0,52.0,18,69.0,32.0,82,99.0,60.0,294.0,36,81,531,123,99,24,53,60.0,43
199,76.0,61,23,22,387,321.0,7,297.0,12.0,53,64.0,51.0,16.0,15,9,123,407.0,72.0,21,38.0,43.0,100,119.0,44.0,374.0,30,108,539,112,93,10,53,45.0,36
200,87.0,65,50,17,353,317.0,15,246.0,6.0,71,64.0,117.0,18.0,33,8,133,254.0,63.0,20,29.0,44.0,124,132.0,67.0,391.0,43,111,341,92,75,12,53,50.0,27
201,134.0,398,55,22,398,304.0,41,198.0,23.0,53,39.0,56.0,20.0,39,11,127,273.0,65.0,23,24.0,43.0,83,138.0,82.0,364.0,41,113,221,73,103,6,31,36.0,54
