,2015_Bangkok_bombing,2015_Chattanooga_shootings,Umpqua_Community_College_shooting,June_2016_Tel_Aviv_shooting,2016_shooting_of_Almaty_police_officers,Botroseya_Church_bombing,August_2016_Gaziantep_bombing,July_2016_Kabul_bombing,Orlando_nightclub_shooting,Sagamihara_stabbings,Al-Faqma_ice_cream_parlor_bombing,Manchester_Arena_bombing,2017_Nasiriyah_attacks,2017_Peshawar_Agriculture_Directorate_attack,Quebec_City_mosque_shooting,2017_Quetta_church_attack,2017_Sinai_mosque_attack,Sutherland_Springs_church_shooting,2017_Tehran_attacks,Ahvaz_military_parade_attack,Campinas_Cathedral_shooting,Carcassonne_and_Tr%C3%A8bes_attack,2018_Minya_bus_attack,2018_M%C3%BCnster_attack,2018_Ouagadougou_attacks,2018_Strasbourg_attack,Thousand_Oaks_shooting,Toronto_van_attack,2019_Altamira_prison_riot,"Aurora,_Illinois_shooting",2019_Dayton_shooting,2019_Jolo_Cathedral_bombings,17_August_2019_Kabul_bombing,Paris_police_headquarters_stabbing,2019_Sri_Lanka_Easter_bombings,Kabul_gurdwara_attack,Pakistan_Stock_Exchange_attack
51,524,364,961,34,6,62.0,42,69,33,232,19,3,31,23,324.0,19,131.0,713,134,106.0,4,404,30,15.0,37.0,189.0,1662.0,729.0,14.0,123.0,976,1592,42.0,54,2271,246,46
52,433,357,1110,55,5,38.0,71,44,28,192,14,7,49,24,769.0,15,142.0,856,163,105.0,7,220,28,32.0,43.0,236.0,1611.0,630.0,38.0,164.0,1039,972,55.0,63,2114,133,48
53,396,351,1274,56,4,41.0,31,59,30,125,24,16,39,20,1025.0,25,120.0,725,131,82.0,16,161,33,26.0,43.0,241.0,1596.0,593.0,22.0,132.0,1014,772,52.0,69,2786,119,56
54,682,357,1228,62,9,46.0,37,46,33,159,18,8,22,20,695.0,19,108.0,680,152,103.0,6,130,24,27.0,62.0,206.0,1458.0,594.0,21.0,162.0,909,620,48.0,81,2452,136,37
55,705,304,1118,42,5,42.0,44,25,29,132,23,8,32,18,553.0,19,122.0,729,129,84.0,4,108,38,23.0,46.0,225.0,1227.0,736.0,19.0,151.0,690,371,51.0,39,1941,113,36
56,601,368,763,53,8,47.0,42,44,28,128,25,1,32,27,452.0,18,97.0,650,112,94.0,6,129,142,26.0,28.0,173.0,1500.0,671.0,14.0,120.0,796,294,29.0,62,1823,81,38
57,564,455,771,56,9,44.0,63,45,27,117,11,5,24,22,412.0,21,98.0,725,122,81.0,11,90,202,16.0,23.0,173.0,1140.0,697.0,17.0,92.0,978,231,42.0,151,1920,53,49
58,473,298,1205,56,10,55.0,74,55,35,102,25,7,24,20,376.0,18,123.0,770,122,92.0,5,92,84,22.0,25.0,157.0,1005.0,548.0,29.0,107.0,946,179,45.0,138,1763,50,57
59,448,3794,1063,56,5,50.0,54,56,19,138,12,19,29,33,479.0,15,127.0,654,110,100.0,7,114,56,24.0,36.0,140.0,1271.0,518.0,28.0,155.0,992,143,49.0,92,1644,30,50
60,395,1761,1291,43,10,27.0,31,62,30,116,12,16,37,18,421.0,24,112.0,652,131,82.0,6,131,95,43.0,30.0,180.0,1119.0,470.0,26.0,138.0,911,174,47.0,102,1565,33,47
61,333,482,1240,44,10,25.0,44,30,23,132,15,7,32,22,279.0,19,112.0,683,141,91.0,7,100,45,27.0,25.0,164.0,1052.0,471.0,16.0,254.0,917,98,51.0,76,1452,104,29
62,454,605,2621,46,15,38.0,41,41,23,160,20,5,26,17,204.0,13,77.0,590,136,80.0,9,123,49,15.0,29.0,167.0,904.0,545.0,23.0,486.0,757,92,97.0,69,1546,67,43
63,411,686,7562,102,6,32.0,42,40,33,124,29,5,27,12,254.0,22,86.0,660,130,68.0,4,98,48,15.0,26.0,211.0,990.0,556.0,14.0,230.0,903,105,100.0,61,1793,33,44
64,397,927,3965,66,8,46.0,29,33,34,122,21,4,28,20,349.0,21,94.0,673,127,81.0,7,76,33,20.0,20.0,125.0,939.0,562.0,26.0,193.0,1009,111,62.0,49,1692,49,38
65,366,907,2630,40,8,29.0,39,48,38,115,24,5,30,19,331.0,25,108.0,719,102,88.0,8,94,48,27.0,13.0,100.0,922.0,608.0,19.0,176.0,878,142,63.0,64,1556,149,37
66,396,521,3375,42,14,54.0,45,46,32,172,18,3,21,13,348.0,11,118.0,693,106,75.0,9,106,36,15.0,31.0,121.0,1081.0,703.0,27.0,141.0,870,128,55.0,58,1516,88,35
67,373,438,2957,55,13,37.0,37,37,33,136,14,4,26,32,258.0,15,107.0,1115,123,98.0,9,158,39,15.0,30.0,142.0,927.0,612.0,24.0,161.0,1091,98,49.0,43,1688,107,29
68,326,370,2348,51,9,20.0,36,48,25,151,12,4,36,26,364.0,19,103.0,1677,123,69.0,5,127,39,24.0,32.0,145.0,939.0,452.0,20.0,143.0,998,109,39.0,67,1562,87,35
69,363,320,1758,52,8,29.0,24,33,21,138,21,3,31,24,259.0,16,83.0,798,133,72.0,5,113,36,26.0,31.0,136.0,815.0,601.0,13.0,152.0,744,96,51.0,69,1373,61,35
70,433,346,1634,54,20,49.0,26,26,40,107,28,5,26,23,320.0,14,75.0,786,99,60.0,3,103,40,15.0,37.0,120.0,797.0,703.0,21.0,125.0,767,93,23.0,49,1543,74,25
71,402,259,1436,39,12,70.0,23,37,43,75,20,6,58,27,305.0,18,99.0,642,232,67.0,2,92,44,18.0,26.0,132.0,877.0,640.0,20.0,112.0,881,158,59.0,79,1421,49,42
72,354,211,987,37,10,42.0,35,43,25,103,28,8,31,18,310.0,18,116.0,646,288,92.0,4,108,32,11.0,38.0,124.0,813.0,523.0,19.0,154.0,827,132,69.0,52,1459,47,53
73,347,216,1140,26,4,54.0,28,33,24,85,11,4,23,24,249.0,23,141.0,738,197,105.0,8,101,30,11.0,25.0,115.0,844.0,581.0,18.0,325.0,1358,130,54.0,56,1470,38,48
74,339,280,1367,39,3,34.0,28,34,31,99,18,5,36,19,711.0,22,109.0,707,202,84.0,4,85,23,26.0,30.0,108.0,847.0,532.0,19.0,840.0,703,116,48.0,40,1475,36,48
75,314,254,1218,48,7,52.0,29,50,23,136,16,2,29,21,189.0,25,86.0,648,182,127.0,6,93,27,18.0,33.0,103.0,869.0,528.0,12.0,439.0,685,94,53.0,60,1179,31,30
76,444,294,1099,47,6,49.0,54,30,23,87,19,5,20,30,218.0,19,101.0,646,190,118.0,6,95,36,17.0,34.0,84.0,854.0,648.0,25.0,292.0,669,80,48.0,73,1291,41,34
77,454,695,938,54,5,30.0,49,32,31,69,21,3,29,27,271.0,15,120.0,667,130,74.0,7,93,23,11.0,31.0,101.0,769.0,760.0,15.0,184.0,593,89,39.0,125,1269,29,34
78,406,1190,794,90,7,65.0,45,35,20,106,16,4,30,19,237.0,12,106.0,714,158,74.0,7,90,21,18.0,28.0,120.0,884.0,593.0,16.0,162.0,769,170,52.0,94,1162,26,30
79,408,642,657,42,5,44.0,42,29,22,87,26,4,24,18,240.0,13,158.0,865,104,57.0,5,89,24,18.0,32.0,117.0,765.0,491.0,12.0,151.0,857,220,51.0,48,1293,42,30
80,424,536,617,40,7,62.0,27,54,31,97,28,3,26,21,290.0,11,124.0,989,116,66.0,3,90,22,16.0,40.0,91.0,949.0,1547.0,12.0,181.0,835,137,70.0,37,1319,34,34
81,363,1041,671,51,5,36.0,25,56,20,73,28,5,26,19,359.0,19,137.0,875,108,76.0,6,117,29,15.0,48.0,86.0,1118.0,1238.0,16.0,192.0,831,113,55.0,45,1423,24,32
82,330,756,594,55,2,49.0,28,48,22,77,31,8,18,22,383.0,13,113.0,711,132,93.0,8,105,29,26.0,37.0,84.0,941.0,564.0,8.0,402.0,702,76,66.0,42,1233,23,24
83,371,597,671,59,11,43.0,31,39,21,81,21,5,23,20,231.0,18,171.0,614,128,72.0,3,87,25,22.0,24.0,114.0,804.0,464.0,26.0,311.0,584,83,46.0,52,1330,29,24
84,428,476,479,41,8,26.0,23,35,16,97,34,3,25,20,168.0,19,196.0,798,122,56.0,4,92,25,25.0,37.0,143.0,931.0,554.0,98.0,197.0,744,702,31.0,36,1426,20,26
85,435,480,415,51,9,40.0,35,29,32,92,18,5,19,22,226.0,15,143.0,1006,110,80.0,9,102,24,13.0,19.0,247.0,728.0,563.0,53.0,143.0,1110,659,48.0,61,1199,19,36
86,331,337,448,24,8,39.0,37,29,37,70,23,5,28,25,201.0,16,143.0,805,97,67.0,8,83,29,9.0,20.0,111.0,748.0,539.0,36.0,161.0,881,435,70.0,46,1420,29,29
87,389,292,460,35,12,29.0,36,77,38,68,15,4,34,24,210.0,13,143.0,763,126,72.0,6,88,24,5.0,23.0,109.0,872.0,561.0,23.0,143.0,742,289,67.0,50,1487,15,23
88,612,344,502,50,7,41.0,46,46,27,63,19,5,63,22,235.0,13,146.0,867,160,96.0,5,94,25,34.0,22.0,94.0,808.0,583.0,17.0,198.0,721,194,77.0,40,1496,29,33
89,2945,320,667,45,4,27.0,34,40,46,142,25,7,32,23,199.0,11,125.0,691,147,92.0,9,66,36,29.0,28.0,80.0,661.0,498.0,23.0,176.0,718,154,73.0,37,1391,23,32
